imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Abrolhos Islands,1900,1970,Native,1054,401
Abrolhos Islands,1971,1975,Introduced,4,2
Abrolhos Islands,1971,1975,Native,287,147
Abrolhos Islands,1976,1980,Native,407,200
Abrolhos Islands,1981,1985,Native,188,130
Abrolhos Islands,1986,1990,Introduced,33,11
Abrolhos Islands,1986,1990,Native,624,255
Abrolhos Islands,1991,1995,Introduced,1,1
Abrolhos Islands,1991,1995,Native,1591,362
Abrolhos Islands,1996,2000,Introduced,10,9
Abrolhos Islands,1996,2000,Invasive,1,1
Abrolhos Islands,1996,2000,Native,923,153
Abrolhos Islands,2001,2005,Introduced,14,13
Abrolhos Islands,2001,2005,Native,396,180
Abrolhos Islands,2006,2010,Native,2458,229
Abrolhos Islands,2011,2015,Native,57,31
Abrolhos Islands,2016,2020,Native,615,72
Anson Beagle,1900,1970,Introduced,36,22
Anson Beagle,1900,1970,Invasive,4,3
Anson Beagle,1900,1970,Native,4076,1712
Anson Beagle,1971,1975,Introduced,7,6
Anson Beagle,1971,1975,Invasive,1,1
Anson Beagle,1971,1975,Native,1789,903
Anson Beagle,1976,1980,Introduced,2,2
Anson Beagle,1976,1980,Invasive,3,1
Anson Beagle,1976,1980,Native,3617,964
Anson Beagle,1981,1985,Introduced,11,8
Anson Beagle,1981,1985,Native,5744,1506
Anson Beagle,1986,1990,Introduced,5,4
Anson Beagle,1986,1990,Invasive,7,5
Anson Beagle,1986,1990,Native,6895,1079
Anson Beagle,1991,1995,Introduced,5,5
Anson Beagle,1991,1995,Invasive,9,3
Anson Beagle,1991,1995,Native,15391,1644
Anson Beagle,1996,2000,Introduced,17,11
Anson Beagle,1996,2000,Invasive,36,5
Anson Beagle,1996,2000,Native,7268,1134
Anson Beagle,2001,2005,Introduced,34,25
Anson Beagle,2001,2005,Invasive,5,1
Anson Beagle,2001,2005,Native,6978,1220
Anson Beagle,2006,2010,Introduced,4,3
Anson Beagle,2006,2010,Invasive,30,3
Anson Beagle,2006,2010,Native,7554,795
Anson Beagle,2011,2015,Introduced,2,2
Anson Beagle,2011,2015,Invasive,3,2
Anson Beagle,2011,2015,Native,8208,693
Anson Beagle,2016,2020,Introduced,2,2
Anson Beagle,2016,2020,Invasive,2,2
Anson Beagle,2016,2020,Native,24670,439
Arafura,1900,1970,Native,3834,317
Arafura,1971,1975,Native,1014,244
Arafura,1976,1980,Native,1936,401
Arafura,1981,1985,Native,3045,379
Arafura,1986,1990,Native,1968,579
Arafura,1991,1995,Native,1252,337
Arafura,1996,2000,Native,157,44
Arafura,2001,2005,Native,585,113
Arafura,2006,2010,Native,28,14
Arafura,2011,2015,Native,1329,295
Arafura,2016,2020,Introduced,1,1
