ibraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Arnhem Coast,1900,1970,Introduced,206,19
Arnhem Coast,1900,1970,Invasive,11,3
Arnhem Coast,1900,1970,Native,7754,1791
Arnhem Coast,1971,1975,Introduced,49,19
Arnhem Coast,1971,1975,Invasive,1,1
Arnhem Coast,1971,1975,Native,5570,1658
Arnhem Coast,1976,1980,Introduced,11,8
Arnhem Coast,1976,1980,Invasive,2,2
Arnhem Coast,1976,1980,Native,5945,1163
Arnhem Coast,1981,1985,Introduced,15,10
Arnhem Coast,1981,1985,Invasive,1,1
Arnhem Coast,1981,1985,Native,3032,1116
Arnhem Coast,1986,1990,Introduced,72,26
Arnhem Coast,1986,1990,Invasive,12,3
Arnhem Coast,1986,1990,Native,14929,1736
Arnhem Coast,1991,1995,Introduced,199,41
Arnhem Coast,1991,1995,Invasive,20,6
Arnhem Coast,1991,1995,Native,12067,1572
Arnhem Coast,1996,2000,Introduced,602,59
Arnhem Coast,1996,2000,Invasive,152,6
Arnhem Coast,1996,2000,Native,26124,1849
Arnhem Coast,2001,2005,Introduced,323,45
Arnhem Coast,2001,2005,Invasive,103,5
Arnhem Coast,2001,2005,Native,14594,1490
Arnhem Coast,2006,2010,Introduced,197,38
Arnhem Coast,2006,2010,Invasive,107,9
Arnhem Coast,2006,2010,Native,33248,1649
Arnhem Coast,2011,2015,Introduced,485,52
Arnhem Coast,2011,2015,Invasive,63,5
Arnhem Coast,2011,2015,Native,27975,1350
Arnhem Coast,2016,2020,Introduced,66,10
Arnhem Coast,2016,2020,Invasive,34,3
Arnhem Coast,2016,2020,Native,34856,1536
Arnhem Plateau,1900,1970,Introduced,58,10
Arnhem Plateau,1900,1970,Invasive,1,1
Arnhem Plateau,1900,1970,Native,1099,517
Arnhem Plateau,1971,1975,Introduced,15,10
Arnhem Plateau,1971,1975,Invasive,1,1
Arnhem Plateau,1971,1975,Native,6186,1524
Arnhem Plateau,1976,1980,Introduced,11,6
Arnhem Plateau,1976,1980,Native,9677,1349
Arnhem Plateau,1981,1985,Introduced,6,4
Arnhem Plateau,1981,1985,Invasive,2,1
Arnhem Plateau,1981,1985,Native,5144,1123
Arnhem Plateau,1986,1990,Introduced,24,13
Arnhem Plateau,1986,1990,Invasive,22,2
Arnhem Plateau,1986,1990,Native,16504,1717
Arnhem Plateau,1991,1995,Introduced,18,9
Arnhem Plateau,1991,1995,Native,5929,1342
Arnhem Plateau,1996,2000,Introduced,51,14
Arnhem Plateau,1996,2000,Invasive,16,4
Arnhem Plateau,1996,2000,Native,15321,1487
Arnhem Plateau,2001,2005,Introduced,33,12
Arnhem Plateau,2001,2005,Invasive,69,1
Arnhem Plateau,2001,2005,Native,16530,1275
Arnhem Plateau,2006,2010,Introduced,8,4
Arnhem Plateau,2006,2010,Invasive,192,5
Arnhem Plateau,2006,2010,Native,8770,1133
Arnhem Plateau,2011,2015,Introduced,27,15
Arnhem Plateau,2011,2015,Invasive,513,4
Arnhem Plateau,2011,2015,Native,14932,998
Arnhem Plateau,2016,2020,Introduced,1,1
Arnhem Plateau,2016,2020,Invasive,297,4
Arnhem Plateau,2016,2020,Native,17159,817
Australian Alps,1900,1970,Introduced,856,107
Australian Alps,1900,1970,Invasive,10,3
Australian Alps,1900,1970,Native,51472,3485
Australian Alps,1971,1975,Introduced,775,110
Australian Alps,1971,1975,Invasive,25,5
Australian Alps,1971,1975,Native,23896,2093
Australian Alps,1976,1980,Introduced,1667,139
Australian Alps,1976,1980,Invasive,64,10
Australian Alps,1976,1980,Native,52275,2335
Australian Alps,1981,1985,Introduced,1393,84
Australian Alps,1981,1985,Invasive,55,5
Australian Alps,1981,1985,Native,37019,1839
Australian Alps,1986,1990,Introduced,1027,107
Australian Alps,1986,1990,Invasive,28,4
Australian Alps,1986,1990,Native,37805,1908
Australian Alps,1991,1995,Introduced,777,81
Australian Alps,1991,1995,Invasive,55,8
Australian Alps,1991,1995,Native,25849,1931
Australian Alps,1996,2000,Introduced,1348,108
Australian Alps,1996,2000,Invasive,56,7
Australian Alps,1996,2000,Native,43388,1722
Australian Alps,2001,2005,Introduced,1273,133
Australian Alps,2001,2005,Invasive,75,5
Australian Alps,2001,2005,Native,33578,1744
Australian Alps,2006,2010,Introduced,1203,90
Australian Alps,2006,2010,Invasive,177,6
Australian Alps,2006,2010,Native,24162,1586
Australian Alps,2011,2015,Introduced,1421,105
Australian Alps,2011,2015,Invasive,333,3
Australian Alps,2011,2015,Native,65732,2864
Australian Alps,2016,2020,Introduced,2110,111
Australian Alps,2016,2020,Invasive,373,6
Australian Alps,2016,2020,Native,67513,2422
Avon Wheatbelt,1900,1970,Introduced,253,118
Avon Wheatbelt,1900,1970,Invasive,7,3
Avon Wheatbelt,1900,1970,Native,32610,4241
Avon Wheatbelt,1971,1975,Introduced,91,40
Avon Wheatbelt,1971,1975,Invasive,1,1
Avon Wheatbelt,1971,1975,Native,7062,1866
Avon Wheatbelt,1976,1980,Introduced,85,38
Avon Wheatbelt,1976,1980,Invasive,11,3
Avon Wheatbelt,1976,1980,Native,19723,2271
Avon Wheatbelt,1981,1985,Introduced,227,78
Avon Wheatbelt,1981,1985,Invasive,5,2
Avon Wheatbelt,1981,1985,Native,15286,2743
Avon Wheatbelt,1986,1990,Introduced,155,56
Avon Wheatbelt,1986,1990,Invasive,3,2
Avon Wheatbelt,1986,1990,Native,20749,2298
Avon Wheatbelt,1991,1995,Introduced,117,50
Avon Wheatbelt,1991,1995,Invasive,1,1
Avon Wheatbelt,1991,1995,Native,27137,2489
Avon Wheatbelt,1996,2000,Introduced,2022,129
Avon Wheatbelt,1996,2000,Invasive,15,3
Avon Wheatbelt,1996,2000,Native,95097,3535
Avon Wheatbelt,2001,2005,Introduced,426,94
Avon Wheatbelt,2001,2005,Invasive,7,4
Avon Wheatbelt,2001,2005,Native,67000,2752
Avon Wheatbelt,2006,2010,Introduced,117,31
Avon Wheatbelt,2006,2010,Invasive,7,3
Avon Wheatbelt,2006,2010,Native,46467,2429
Avon Wheatbelt,2011,2015,Introduced,79,38
Avon Wheatbelt,2011,2015,Invasive,15,6
Avon Wheatbelt,2011,2015,Native,71317,1812
Avon Wheatbelt,2016,2020,Introduced,72,32
Avon Wheatbelt,2016,2020,Invasive,12,6
Avon Wheatbelt,2016,2020,Native,66835,1862
Ben Lomond,1900,1970,Introduced,64,42
Ben Lomond,1900,1970,Native,4533,1381
Ben Lomond,1971,1975,Introduced,12,6
Ben Lomond,1971,1975,Native,2167,824
Ben Lomond,1976,1980,Introduced,51,26
Ben Lomond,1976,1980,Invasive,8,1
Ben Lomond,1976,1980,Native,5976,1021
Ben Lomond,1981,1985,Introduced,66,44
Ben Lomond,1981,1985,Invasive,66,1
Ben Lomond,1981,1985,Native,4135,1142
Ben Lomond,1986,1990,Introduced,18,13
Ben Lomond,1986,1990,Invasive,1,1
Ben Lomond,1986,1990,Native,3548,1005
Ben Lomond,1991,1995,Introduced,5,4
Ben Lomond,1991,1995,Invasive,1,1
Ben Lomond,1991,1995,Native,3613,835
Ben Lomond,1996,2000,Introduced,39,24
Ben Lomond,1996,2000,Native,7775,773
Ben Lomond,2001,2005,Introduced,65,42
Ben Lomond,2001,2005,Invasive,2,2
Ben Lomond,2001,2005,Native,7354,1164
Ben Lomond,2006,2010,Introduced,37,28
Ben Lomond,2006,2010,Invasive,2,2
Ben Lomond,2006,2010,Native,3941,804
Ben Lomond,2011,2015,Introduced,22,16
Ben Lomond,2011,2015,Invasive,3,1
Ben Lomond,2011,2015,Native,3151,724
Ben Lomond,2016,2020,Introduced,23,19
Ben Lomond,2016,2020,Invasive,17,2
Ben Lomond,2016,2020,Native,5540,768
Brigalow Belt North,1900,1970,Introduced,356,105
Brigalow Belt North,1900,1970,Invasive,39,8
Brigalow Belt North,1900,1970,Native,27506,5517
Brigalow Belt North,1971,1975,Introduced,60,35
Brigalow Belt North,1971,1975,Invasive,36,6
Brigalow Belt North,1971,1975,Native,7171,2381
Brigalow Belt North,1976,1980,Introduced,195,96
Brigalow Belt North,1976,1980,Invasive,22,8
Brigalow Belt North,1976,1980,Native,24178,2673
Brigalow Belt North,1981,1985,Introduced,102,49
Brigalow Belt North,1981,1985,Invasive,29,10
Brigalow Belt North,1981,1985,Native,8421,2036
Brigalow Belt North,1986,1990,Introduced,105,45
Brigalow Belt North,1986,1990,Invasive,17,5
Brigalow Belt North,1986,1990,Native,8973,2071
Brigalow Belt North,1991,1995,Introduced,141,56
Brigalow Belt North,1991,1995,Invasive,17,8
Brigalow Belt North,1991,1995,Native,14214,2837
Brigalow Belt North,1996,2000,Introduced,162,81
Brigalow Belt North,1996,2000,Invasive,75,11
Brigalow Belt North,1996,2000,Native,61018,2789
Brigalow Belt North,2001,2005,Introduced,1040,108
Brigalow Belt North,2001,2005,Invasive,718,11
Brigalow Belt North,2001,2005,Native,82242,2126
Brigalow Belt North,2006,2010,Introduced,2931,105
Brigalow Belt North,2006,2010,Invasive,7019,6
Brigalow Belt North,2006,2010,Native,87527,2487
Brigalow Belt North,2011,2015,Introduced,1032,67
Brigalow Belt North,2011,2015,Invasive,215,8
Brigalow Belt North,2011,2015,Native,169461,2738
Brigalow Belt North,2016,2020,Introduced,899,117
Brigalow Belt North,2016,2020,Invasive,120,16
Brigalow Belt North,2016,2020,Native,389155,3179
