taxonomicGroup,latitude,longitude,epbcStatus
Birds,-25.01534752,114.4114369,Endangered
Birds,-18.31114598,122.3163212,Endangered
Birds,-20.66052834,117.0795967,Endangered
Birds,-15.71409992,120.8315306,Endangered
Birds,-31.91534834,115.4916095,Endangered
Birds,-37.84704817,143.2517563,Endangered
Birds,-33.79845532,134.7934883,Endangered
Birds,-40.43566564,147.8210816,Endangered
Birds,-38.38643205,146.2603928,Endangered
Birds,-22.40506269,114.4195664,Endangered
Birds,-33.68682216,151.3158186,Endangered
Birds,-32.76422562,134.4945286,Endangered
Birds,-40.44800762,144.5314487,Endangered
Birds,-19.59936328,147.3551717,Endangered
Birds,-38.32100885,144.2402249,Endangered
Birds,-42.65599782,147.7519754,Endangered
Birds,-12.72421308,131.1774919,Endangered
Birds,-33.2071383,151.5581067,Endangered
Birds,-33.91392283,137.9381525,Endangered
Birds,-35.77465865,139.2177927,Endangered
Birds,-11.98931535,134.5789613,Endangered
Birds,-29.24588835,153.2593919,Endangered
Birds,-12.6740252,136.4093172,Endangered
Birds,-34.15050767,116.6498318,Endangered
Birds,-32.36602361,152.2972976,Endangered
Birds,-37.34930962,140.0267898,Endangered
Birds,-37.75060845,148.9293261,Endangered
Birds,-28.35742949,114.4413846,Endangered
Birds,-31.23160852,152.7979609,Endangered
Birds,-32.52013869,151.1890475,Endangered
Birds,-32.06595744,127.5510533,Endangered
Birds,-34.66180604,150.8782982,Endangered
Birds,-22.67562014,134.1467858,Endangered
Birds,-34.69551507,116.1574097,Endangered
Birds,-35.26523623,150.6600222,Endangered
Birds,-29.72878088,126.6940185,Endangered
Birds,-14.30648323,141.8775413,Endangered
Birds,-32.76295029,136.9454822,Endangered
Birds,-38.51214642,142.5392623,Endangered
Birds,-18.76298318,146.4544179,Endangered
Birds,-34.22470711,151.0051801,Endangered
Birds,-34.95748829,137.4743807,Endangered
Birds,-26.87550882,114.3103687,Endangered
Birds,-25.75166952,113.004459,Endangered
Birds,-16.68869833,140.4145359,Endangered
Birds,-21.09202705,149.3839008,Endangered
Birds,-17.27687556,146.0728591,Endangered
Birds,-27.20516781,153.3374921,Endangered
Birds,-25.10118443,152.8141377,Endangered
Birds,-24.22947123,151.7723377,Endangered
Birds,-22.67300879,150.5462456,Endangered
Birds,-14.72684217,145.1059397,Endangered
Birds,-18.17527419,146.2083487,Endangered
Birds,-22.59861978,150.9013601,Endangered
Birds,-28.16951342,153.679722,Endangered
Birds,-25.01534752,114.4114369,Vulnerable
Birds,-18.31114598,122.3163212,Vulnerable
Birds,-31.91534834,115.4916095,Vulnerable
Birds,-15.71409992,120.8315306,Vulnerable
Birds,-33.79845532,134.7934883,Vulnerable
Birds,-33.91392283,137.9381525,Vulnerable
Birds,-33.89498572,122.5968524,Vulnerable
Birds,-22.40506269,114.4195664,Vulnerable
Birds,-32.76422562,134.4945286,Vulnerable
Birds,-40.44800762,144.5314487,Vulnerable
Birds,-34.95748829,137.4743807,Vulnerable
Birds,-38.38643205,146.2603928,Vulnerable
Birds,-20.66052834,117.0795967,Vulnerable
Birds,-29.24588835,153.2593919,Vulnerable
Birds,-12.72421308,131.1774919,Vulnerable
Birds,-40.43566564,147.8210816,Vulnerable
Birds,-12.6740252,136.4093172,Vulnerable
Birds,-34.15050767,116.6498318,Vulnerable
Birds,-32.36602361,152.2972976,Vulnerable
Birds,-28.35742949,114.4413846,Vulnerable
Birds,-34.69551507,116.1574097,Vulnerable
Birds,-29.90694164,115.3829825,Vulnerable
Birds,-22.67562014,134.1467858,Vulnerable
Birds,-38.32100885,144.2402249,Vulnerable
Birds,-29.72878088,126.6940185,Vulnerable
Birds,-34.66180604,150.8782982,Vulnerable
Birds,-18.76298318,146.4544179,Vulnerable
Birds,-26.87550882,114.3103687,Vulnerable
Birds,-35.92920857,137.2437819,Vulnerable
Birds,-16.68869833,140.4145359,Vulnerable
Birds,-21.09202705,149.3839008,Vulnerable
Birds,-19.59936328,147.3551717,Vulnerable
Birds,-17.27687556,146.0728591,Vulnerable
Birds,-27.20516781,153.3374921,Vulnerable
Birds,-25.10118443,152.8141377,Vulnerable
Birds,-22.67300879,150.5462456,Vulnerable
Birds,-24.22947123,151.7723377,Vulnerable
Birds,-18.17527419,146.2083487,Vulnerable
Birds,-14.72684217,145.1059397,Vulnerable
Birds,-22.59861978,150.9013601,Vulnerable
Birds,-23.67673376,132.549847,Endangered
Birds,-35.18624638,142.3331151,Endangered
Birds,-34.79518565,145.1548667,Endangered
Birds,-36.31880487,144.9278026,Endangered
Birds,-20.58163673,139.7437405,Endangered
Birds,-33.89498572,122.5968524,Endangered
Birds,-31.73027331,136.5454738,Endangered
Birds,-20.57659298,146.0009636,Endangered
Birds,-35.58037443,144.9212064,Endangered
Birds,-28.41963259,153.6112396,Endangered
Birds,-35.92920857,137.2437819,Endangered
Birds,-27.77076785,150.9080372,Endangered
Birds,-32.52013869,151.1890475,Vulnerable
Birds,-37.84704817,143.2517563,Vulnerable
Birds,-33.68682216,151.3158186,Vulnerable
Birds,-35.95503628,150.2451083,Vulnerable
Birds,-35.26523623,150.6600222,Vulnerable
Birds,-33.2071383,151.5581067,Vulnerable
Birds,-35.77465865,139.2177927,Vulnerable
Birds,-11.98931535,134.5789613,Vulnerable
Birds,-31.23160852,152.7979609,Vulnerable
Birds,-38.51214642,142.5392623,Vulnerable
Birds,-32.41332852,117.1792762,Vulnerable
Birds,-36.53324171,149.7389788,Vulnerable
Birds,-42.65599782,147.7519754,Vulnerable
Birds,-37.75060845,148.9293261,Vulnerable
Birds,-37.34930962,140.0267898,Vulnerable
Birds,-38.38551547,141.301596,Vulnerable
Birds,-34.22470711,151.0051801,Vulnerable
Birds,-32.76295029,136.9454822,Vulnerable
Birds,-28.16951342,153.679722,Vulnerable
Amphibians,-34.69551507,116.1574097,Critically Endangered
Amphibians,-34.15050767,116.6498318,Critically Endangered
Amphibians,-34.15050767,116.6498318,Vulnerable
Amphibians,-34.8500639,149.0708174,Vulnerable
Amphibians,-33.88508608,150.8078195,Vulnerable
Amphibians,-34.22470711,151.0051801,Vulnerable
Amphibians,-34.66180604,150.8782982,Vulnerable
Amphibians,-29.82068434,153.4153938,Vulnerable
Amphibians,-32.52013869,151.1890475,Vulnerable
Amphibians,-33.68682216,151.3158186,Vulnerable
Amphibians,-35.26523623,150.6600222,Vulnerable
Amphibians,-38.38643205,146.2603928,Vulnerable
Amphibians,-34.1382346,148.3763939,Endangered
Amphibians,-35.59385181,148.3174358,Endangered
Amphibians,-34.8500639,149.0708174,Endangered
Amphibians,-18.83264044,146.0067638,Vulnerable
Amphibians,-24.22947123,151.7723377,Critically Endangered
Amphibians,-36.53324171,149.7389788,Vulnerable
Amphibians,-37.20899415,146.8452524,Vulnerable
Amphibians,-16.09418496,145.3601964,Critically Endangered
Amphibians,-16.5884132,145.709142,Critically Endangered
Amphibians,-27.1534329,152.8243086,Vulnerable
Amphibians,-27.20516781,153.3374921,Vulnerable
Amphibians,-28.41963259,153.6112396,Vulnerable
Amphibians,-28.59635014,153.1883811,Vulnerable
Amphibians,-29.24588835,153.2593919,Vulnerable
Amphibians,-37.84704817,143.2517563,Vulnerable
Amphibians,-37.21970708,144.8841341,Vulnerable
Amphibians,-38.32100885,144.2402249,Vulnerable
Amphibians,-34.79518565,145.1548667,Vulnerable
Amphibians,-33.70931303,144.5810473,Vulnerable
Amphibians,-34.13547858,147.2989446,Vulnerable
Amphibians,-36.85791566,143.9087018,Vulnerable
Amphibians,-35.59385181,148.3174358,Critically Endangered
Amphibians,-37.20899415,146.8452524,Critically Endangered
Amphibians,-35.26523623,150.6600222,Endangered
Amphibians,-34.98189202,150.298742,Endangered
Amphibians,-28.59635014,153.1883811,Endangered
Amphibians,-37.67163105,146.4117217,Critically Endangered
Amphibians,-28.1389383,152.7925025,Endangered
Amphibians,-28.67190564,152.6169784,Endangered
Amphibians,-36.0760009,148.4682667,Critically Endangered
Amphibians,-35.66840456,148.9095626,Critically Endangered
Amphibians,-34.69551507,116.1574097,Vulnerable
Amphibians,-21.47833308,148.9259678,Endangered
Mammals,-41.42075532,145.788359,Endangered
Mammals,-42.65599782,147.7519754,Endangered
Mammals,-38.51214642,142.5392623,Endangered
Mammals,-37.67163105,146.4117217,Critically Endangered
Mammals,-15.26774165,125.3795586,Vulnerable
Mammals,-20.66052834,117.0795967,Vulnerable
Mammals,-36.53324171,149.7389788,Endangered
Mammals,-37.75060845,148.9293261,Endangered
Mammals,-38.38643205,146.2603928,Endangered
Mammals,-38.32100885,144.2402249,Endangered
Mammals,-37.74514328,141.2276395,Endangered
Mammals,-37.60960905,140.826159,Endangered
Mammals,-35.60727899,141.5734114,Endangered
Mammals,-36.5434572,142.1688746,Endangered
Mammals,-37.21970708,144.8841341,Endangered
Mammals,-37.25678172,142.3822528,Endangered
Mammals,-39.09489143,146.4985593,Endangered
Mammals,-37.84704817,143.2517563,Endangered
Mammals,-37.67163105,146.4117217,Endangered
Mammals,-37.29256957,149.9129914,Endangered
Mammals,-24.98923633,113.1087818,Vulnerable
Mammals,-20.66052834,117.0795967,Endangered
Mammals,-25.01534752,114.4114369,Vulnerable
Mammals,-22.00954092,147.0762701,Critically Endangered
Mammals,-30.47277154,136.3084164,Vulnerable
Mammals,-33.55611994,142.5487265,Vulnerable
