taxonGroup,threatLevel,count
birds,Critically Endangered,18
birds,Endangered,69
birds,Extinct,22
birds,Vulnerable,77
frogs,Critically Endangered,18
frogs,Endangered,15
frogs,Extinct,4
frogs,Vulnerable,16
insects,Critically Endangered,13
insects,Endangered,10
insects,Vulnerable,5
mammals,Critically Endangered,9
mammals,Endangered,47
mammals,Extinct,39
mammals,Vulnerable,57
ray-finned fishes,Critically Endangered,26
ray-finned fishes,Endangered,27
ray-finned fishes,Vulnerable,16
reptiles,Critically Endangered,27
reptiles,Endangered,40
reptiles,Extinct,1
reptiles,Vulnerable,34
sharks,Critically Endangered,2
sharks,Endangered,3
sharks,Vulnerable,5
