yearStart,griisStatus,speciesCount
1971,Introduced,4072
1971,Invasive,250
1971,Native,137275
1976,Introduced,5017
1976,Invasive,351
1976,Native,150293
1981,Introduced,5203
1981,Invasive,382
1981,Native,144306
1986,Introduced,5952
1986,Invasive,373
1986,Native,145142
1991,Introduced,6345
1991,Invasive,439
1991,Native,153465
1996,Introduced,7598
1996,Invasive,519
1996,Native,160028
2001,Introduced,8131
2001,Invasive,604
2001,Native,154792
2006,Introduced,7440
2006,Invasive,613
2006,Native,154579
2011,Introduced,7293
2011,Invasive,609
2011,Native,169231
2016,Introduced,7532
2016,Invasive,634
2016,Native,175420
