x,y,threatLevel
0,0,Vulnerable
1,0,Vulnerable
2,0,Vulnerable
3,0,Vulnerable
4,0,Vulnerable
5,0,Vulnerable
6,0,Vulnerable
7,0,Vulnerable
8,0,Vulnerable
9,0,Vulnerable
0,1,Vulnerable
1,1,Vulnerable
2,1,Vulnerable
3,1,Vulnerable
4,1,Vulnerable
5,1,Vulnerable
6,1,Vulnerable
7,1,Vulnerable
8,1,Vulnerable
9,1,Vulnerable
0,2,Vulnerable
1,2,Vulnerable
2,2,Vulnerable
3,2,Vulnerable
4,2,Vulnerable
5,2,Vulnerable
6,2,Vulnerable
7,2,Vulnerable
8,2,Vulnerable
9,2,Vulnerable
0,3,Vulnerable
1,3,Vulnerable
2,3,Vulnerable
3,3,Vulnerable
4,3,Vulnerable
5,3,Vulnerable
6,3,Endangered
7,3,Endangered
8,3,Endangered
9,3,Endangered
0,4,Endangered
1,4,Endangered
2,4,Endangered
3,4,Endangered
4,4,Endangered
5,4,Endangered
6,4,Endangered
7,4,Endangered
8,4,Endangered
9,4,Endangered
0,5,Endangered
1,5,Endangered
2,5,Endangered
3,5,Endangered
4,5,Endangered
5,5,Endangered
6,5,Endangered
7,5,Endangered
8,5,Endangered
9,5,Endangered
0,6,Endangered
1,6,Endangered
2,6,Endangered
3,6,Endangered
4,6,Endangered
5,6,Endangered
6,6,Endangered
7,6,Endangered
8,6,Endangered
9,6,Endangered
0,7,Endangered
1,7,Endangered
2,7,Endangered
3,7,Endangered
4,7,Endangered
5,7,Critically Endangered
6,7,Critically Endangered
7,7,Critically Endangered
8,7,Critically Endangered
9,7,Critically Endangered
0,8,Critically Endangered
1,8,Critically Endangered
2,8,Critically Endangered
3,8,Critically Endangered
4,8,Critically Endangered
5,8,Critically Endangered
6,8,Critically Endangered
7,8,Critically Endangered
8,8,Critically Endangered
9,8,Critically Endangered
0,9,Critically Endangered
1,9,Critically Endangered
2,9,Critically Endangered
3,9,Critically Endangered
4,9,Critically Endangered
5,9,Critically Endangered
6,9,Extinct
7,9,Extinct
8,9,Extinct
9,9,Extinct
